n	n*n	#proc	run	time [s]	distance
256	65536	4	14	0.011635	820.596
256	65536	4	15	0.011418	818.493
256	65536	4	16	0.011704	820.66
256	65536	4	17	0.011632	819.664
256	65536	4	18	0.011395	818.404
256	65536	4	19	0.011483	820.648
256	65536	5	0	0.011527	820.477
256	65536	5	1	0.011243	817.482
256	65536	5	2	0.011496	821.144
256	65536	5	3	0.011211	819.477
256	65536	5	4	0.01113	821.484
256	65536	5	5	0.011401	819.782
256	65536	5	6	0.011462	817.857
256	65536	5	7	0.011402	820.422
256	65536	5	8	0.011187	819.299
256	65536	5	9	0.011253	819.528
256	65536	5	10	0.011369	818.657
256	65536	5	11	0.011445	819.151
256	65536	5	12	0.011324	819.33
256	65536	5	13	0.011211	819.58
256	65536	5	14	0.011419	818.97
256	65536	5	15	0.011175	816.449
256	65536	5	16	0.011216	818.3
256	65536	5	17	0.01129	819.491
256	65536	5	18	0.011481	819.156
256	65536	5	19	0.011095	819.72
256	65536	6	0	0.011352	818.624
256	65536	6	1	0.011199	820.245
256	65536	6	2	0.0113	821.514
256	65536	6	3	0.011293	818.463
256	65536	6	4	0.011342	816.493
256	65536	6	5	0.011032	818.476
256	65536	6	6	0.011141	820.692
256	65536	6	7	0.010904	819.577
256	65536	6	8	0.011015	819.712
256	65536	6	9	0.01095	819.791
256	65536	6	10	0.011004	818.338
256	65536	6	11	0.010726	818.481
256	65536	6	12	0.010972	821.046
256	65536	6	13	0.011088	819.887
256	65536	6	14	0.010884	818.352
256	65536	6	15	0.011252	820.539
256	65536	6	16	0.011208	817.552
256	65536	6	17	0.01143	820.529
256	65536	6	18	0.011314	820.03
256	65536	6	19	0.011283	821.969
256	65536	7	0	0.011315	820.955
256	65536	7	1	0.011263	819.503
256	65536	7	2	0.011	822.335
256	65536	7	3	0.011019	820.736
256	65536	7	4	0.011119	819.994
256	65536	7	5	0.011083	821.419
256	65536	7	6	0.011014	819.566
256	65536	7	7	0.011735	820.369
256	65536	7	8	0.011281	819.444
256	65536	7	9	0.011417	818.954
256	65536	7	10	0.011115	820.283
256	65536	7	11	0.011386	820.576
256	65536	7	12	0.011418	818.111
256	65536	7	13	0.011242	819.154
256	65536	7	14	0.01099	818.946
256	65536	7	15	0.010946	819.426
256	65536	7	16	0.011159	820.899
256	65536	7	17	0.01116	819.397
256	65536	7	18	0.011135	819.481
256	65536	7	19	0.011434	819.519
256	65536	8	0	0.0118	821.688
256	65536	8	1	0.011426	820.454
256	65536	8	2	0.011299	821.337
256	65536	8	3	0.01139	819.333
256	65536	8	4	0.011431	821.354
256	65536	8	5	0.011551	821.819
256	65536	8	6	0.011139	818.398
256	65536	8	7	0.010938	821.801
256	65536	8	8	0.011316	819.473
256	65536	8	9	0.011225	819.792
256	65536	8	10	0.011253	820.492
256	65536	8	11	0.011358	821.232
256	65536	8	12	0.011304	820.573
256	65536	8	13	0.011401	819.047
256	65536	8	14	0.011113	820.656
256	65536	8	15	0.011527	820.673
256	65536	8	16	0.011531	818.579
256	65536	8	17	0.011331	819.515
256	65536	8	18	0.011395	819.768
256	65536	8	19	0.011518	819.323
512	262144	1	0	0.070081	1633.15
512	262144	1	1	0.070088	1633.15
512	262144	1	2	0.070133	1633.15
512	262144	1	3	0.070177	1633.15
512	262144	1	4	0.070096	1633.15
512	262144	1	5	0.07014	1633.15
512	262144	1	6	0.070103	1633.15
512	262144	1	7	0.070151	1633.15
512	262144	1	8	0.070181	1633.15
512	262144	1	9	0.070148	1633.15
512	262144	1	10	0.070221	1633.15
512	262144	1	11	0.07009	1633.15
512	262144	1	12	0.070405	1633.15
512	262144	1	13	0.070128	1633.15
512	262144	1	14	0.070066	1633.15
512	262144	1	15	0.070209	1633.15
512	262144	1	16	0.070244	1633.15
