n	n*n	#proc	run	time [s]	distance	#visited	time/node
128	16384	5	29	0.001237	204.534	7213	1.71496e-07
128	16384	5	30	0.001203	202.43	5720	2.10315e-07
128	16384	5	31	0.001175	203.248	6488	1.81104e-07
128	16384	5	32	0.001182	202.978	6603	1.7901e-07
128	16384	5	33	0.001326	204.168	7495	1.76918e-07
128	16384	5	34	0.00105	202.31	5935	1.76917e-07
128	16384	5	35	0.001188	203.529	6275	1.89323e-07
128	16384	5	36	0.001196	202.979	6738	1.77501e-07
128	16384	5	37	0.001201	202.516	6494	1.8494e-07
128	16384	5	38	0.001337	204.624	6834	1.95639e-07
128	16384	5	39	0.001181	202.922	7055	1.67399e-07
128	16384	5	40	0.001019	202.324	5729	1.77867e-07
128	16384	5	41	0.001173	202.898	6639	1.76683e-07
128	16384	5	42	0.00114	202.901	6330	1.80095e-07
128	16384	5	43	0.0013	202.995	6741	1.9285e-07
128	16384	5	44	0.001197	204.306	6816	1.75616e-07
128	16384	5	45	0.001182	203.018	6637	1.78093e-07
128	16384	5	46	0.001266	203.119	6213	2.03766e-07
128	16384	5	47	0.00118	203.007	6259	1.88529e-07
128	16384	5	48	0.001246	203.158	6782	1.83722e-07
128	16384	5	49	0.00112	202.435	5910	1.89509e-07
128	16384	6	0	0.001249	203.212	6383	1.95676e-07
128	16384	6	1	0.001087	202.221	5542	1.96139e-07
128	16384	6	2	0.001123	202.722	6652	1.68821e-07
128	16384	6	3	0.001104	203.358	5896	1.87246e-07
128	16384	6	4	0.001117	203.6	6297	1.77386e-07
128	16384	6	5	0.001096	203.331	6565	1.66946e-07
128	16384	6	6	0.001175	203.314	6359	1.84777e-07
128	16384	6	7	0.001047	202.631	6061	1.72744e-07
128	16384	6	8	0.001209	203.942	6868	1.76034e-07
128	16384	6	9	0.001321	204.196	7195	1.836e-07
128	16384	6	10	0.001118	203.537	6205	1.80177e-07
128	16384	6	11	0.001142	204.634	7008	1.62957e-07
128	16384	6	12	0.001148	202.967	6783	1.69247e-07
128	16384	6	13	0.001104	203.029	6190	1.78352e-07
128	16384	6	14	0.001036	202.591	5753	1.8008e-07
128	16384	6	15	0.001067	203.535	6169	1.72962e-07
128	16384	6	16	0.001159	204.17	7200	1.60972e-07
128	16384	6	17	0.00115	203.574	6470	1.77743e-07
128	16384	6	18	0.001124	203.496	6400	1.75625e-07
128	16384	6	19	0.001157	204.261	6931	1.66931e-07
128	16384	6	20	0.001261	204.018	6946	1.81543e-07
128	16384	6	21	0.001126	203.288	6458	1.74357e-07
128	16384	6	22	0.001044	201.95	5804	1.79876e-07
128	16384	6	23	0.001156	203.421	6477	1.78478e-07
128	16384	6	24	0.001073	202.914	6237	1.72038e-07
128	16384	6	25	0.001175	204.606	6863	1.71208e-07
128	16384	6	26	0.001102	202.166	6172	1.78548e-07
128	16384	6	27	0.001091	202.218	6116	1.78385e-07
128	16384	6	28	0.001173	202.356	6094	1.92484e-07
128	16384	6	29	0.001149	203.934	6912	1.66233e-07
128	16384	6	30	0.001086	202.59	6160	1.76299e-07
128	16384	6	31	0.001161	203.575	6568	1.76766e-07
128	16384	6	32	0.001107	203.022	6587	1.68058e-07
128	16384	6	33	0.001072	203.61	6100	1.75738e-07
128	16384	6	34	0.001097	203.153	6166	1.77911e-07
128	16384	6	35	0.000995	202.458	5595	1.77837e-07
128	16384	6	36	0.001092	202.502	5825	1.87468e-07
128	16384	6	37	0.001107	203.187	6304	1.75603e-07
128	16384	6	38	0.001155	204.345	6965	1.65829e-07
128	16384	6	39	0.001172	203.3	6479	1.80892e-07
128	16384	6	40	0.001104	202.986	6857	1.61003e-07
128	16384	6	41	0.000999	202.339	5591	1.7868e-07
128	16384	6	42	0.001095	203.591	6359	1.72197e-07
128	16384	6	43	0.001007	202.413	5835	1.72579e-07
128	16384	6	44	0.001092	203.201	6575	1.66084e-07
128	16384	6	45	0.001297	204.086	7068	1.83503e-07
128	16384	6	46	0.001137	203.642	6679	1.70235e-07
128	16384	6	47	0.001114	202.032	6241	1.78497e-07
128	16384	6	48	0.001234	203.682	7309	1.68833e-07
128	16384	6	49	0.001073	203.162	6053	1.77267e-07
128	16384	7	0	0.001244	203.468	6577	1.89144e-07
